x_1,x_2,y
0.5842022243484206,0.5465099933267085,africa
0.5478556936215476,0.4412184177230327,africa
0.5896227628051374,0.5089905730554936,africa
0.5662111443924956,0.43561110988691487,africa
0.5655102706148499,0.4105689463389731,africa
0.5368750047426915,0.5099019893764242,africa
0.5396523411684555,0.5246555293348538,africa
0.5982050305250493,0.485549859306351,africa
0.5075905198336188,0.5548117350505829,africa
0.5528656288021772,0.5064709695966154,africa
0.5983496134347571,0.5070839551427263,africa
0.5172521505352439,0.5469038850670306,africa
0.5440245671669609,0.5078798934327761,africa
0.5113533265819477,0.5849286845668024,africa
0.47728345993151544,0.5298379915017882,africa
0.5342842034073382,0.5692379201530136,africa
0.5685279725232806,0.4906908888115876,africa
0.5631857668243277,0.46750639803083605,africa
0.5569766228019553,0.5087812001907771,africa
0.5392867814543906,0.496667566062687,africa
0.5813538710848128,0.5487896595425806,africa
0.5872997135573231,0.5484778313428806,africa
0.5376404668732591,0.5208100874063095,africa
0.5107382419145456,0.566126230728293,africa
0.5522353509544571,0.5189379532360925,africa
0.5446281875646211,0.5604137789520323,africa
0.5853123450045424,0.4953376609843584,africa
0.540458696373958,0.44478015000219207,africa
0.5412219289721366,0.5860612912081632,africa
0.532720597804331,0.5290106435767716,africa
0.5804963381324061,0.4970301282647942,africa
0.557806695570946,0.48594348699613854,africa
0.5759735788076579,0.5799907815742594,africa
0.5697986808205072,0.5267751307067452,africa
0.5250535694406766,0.5799076865879504,africa
0.5620416432441528,0.4216271285448324,africa
0.5039585055213767,0.525255672817414,africa
0.5455614372682986,0.5531477850007359,africa
0.5209801900533513,0.5386415636040823,africa
0.5620096619347243,0.47277065946586716,africa
0.5867210816349617,0.5109171956518311,africa
0.5714180317031158,0.45597454924777125,africa
0.5752876133110856,0.46168732344891783,africa
0.5823935423077367,0.5699481477521219,africa
0.5603031967501299,0.4222630690199709,africa
0.5866107682333244,0.4236542721131745,africa
0.48048220035922806,0.5469598809973126,africa
0.5679934006825926,0.5517581415676507,africa
0.574027296978334,0.4317128715348961,africa
0.5578387744917973,0.5512877584324404,africa
0.5468173796493999,0.49134293721078925,africa
0.5910812494302609,0.4529120504948677,africa
0.5483178596695835,0.45391171873937775,africa
0.4846081635914441,0.5388763572026034,africa
0.5782963417455725,0.44427977745625147,africa
0.5449033994317667,0.5403584848417042,africa
0.5121190102776287,0.525863827087306,africa
0.5855010013901555,0.4808669053455449,africa
0.566965973187663,0.5028992374436069,africa
0.5592761922413167,0.5470665304660919,africa
0.5546539758901115,0.46147609597781125,africa
0.5251675544083039,0.5507757576532945,africa
0.5720064337358169,0.4325972360347108,africa
0.5556093009249745,0.39773910842428417,africa
0.5664772750407333,0.49760100610629,africa
0.5676074990378396,0.4044498572277887,africa
0.5789760715071671,0.45764259284160524,africa
0.5740438437145815,0.46099293316166234,africa
0.5669588038986519,0.4451681128009537,africa
